CAMBRIDGE INDEPENDENT PRESS: FRIDAY 30 AUGUST 1895-2.

NEW CHESTERTON JUNIORS v. LIBERAL
2nd XI.
Played on Parker's Piece on Thursday, and won easily by the Liberals. Score :—
NEW CHESTERTON JUNIORS. | LIBERALS.
G Wolfe, b Willers ...... 0 | H Tebb, not out ........ 82
H Stevens, b Willers .... 14 | H Jackson, b Shadbolt .. 0
H Grounds, b Haigh .... 26 | R Willers, run out ....... 2
G Dixon, lbw, b Willers .. 4 | W Frost, b Stevens ..... 6
Shadbolt, c Frost, b Willers .................... 5 | F Hitchings, b Wolfe ... 0
F Premant, b Willers .... 0 | G Smith, b Wolfe ....... 0
E Hills, b Willers ...... 0 | German, b Shadbolt ..... 2
E French, b Willers ..... 0 | W Haigh, b Shadbolt .... 1
H Brockman, c Willers, b Frost .................. 1 | Webb, b Wolfe ........ 0
Chandler, c Palen, b Willers .................. 0 | Palen, b Shadbolt ...... 4
Gill, not out ........... 0 | I Stevens, did not bat ... 0
Extras ................ 12 | Extras ............... 21
Total ............. 63 | Total .............. 127

CAMDEN v. ST. GILES.
This match was played on Parker's Piece on Thursday, and was won by the Camden by 70 runs.
Score :—
CAMDEN. | ST GILES'.
P W Gray, b Leworthy .. 18 | K Cook, run out ........ 2
F Morgan, b A Cook .... 6 | R Swann-Mason, c Hancock, b Gray ....... 8
W Moden, b Leworthy .. 0 | J Leworthy, run out .... 1
A Hayward, b Marshall .. 42 | E Marshall, b Morgan .. 14
A Rich, b Cook ........ 1 | King, c Hayward, b Morgan .................. 16
P Taughton, not out .... 52 | Fry, b Morgan ........ 0
P J Hall, b Marshall .... 0 | Brooks, b Morgan ..... 0
H K Doughty, b C Cook .. 17 | J Bailey, b Morgan .... 0
A R Hancock, c Marshall, b A Cook ............ 0 | W Fuller, c Rich, b Gray 2
R Diver, b A Cook ..... 0 | A Hallis, b Gray ....... 4
W Coulson, b C Cook ... 0 | A Cook, not out ........ 7
Extras ................ 5 | Extras ............... 7
Total ............ 135 | Total .............. 65
