matchup,page,date,content_type,collection,record_id
Kensworth v Dunstable Victoria,1,18950527,match information,Tony Webb minor counties collection,
Caddington v Dunstable Second XI,1,18950606,match information,Tony Webb minor counties collection,
St Albans Grammar School v Dunstable Grammar School,1,18950601,match information,Tony Webb minor counties collection,
Chalton v Houghton Second XI,1,18950603,match information,Tony Webb minor counties collection,
Waterlow's v East Finchley,1,18950527,match information,Tony Webb minor counties collection,
F Gentle's XI v Waterlow's,2,18950629,match information,Tony Webb minor counties collection,
Dunstable Grammar School v Bedford County School,2,18950629,match information,Tony Webb minor counties collection,
Waterlow's v Aylesbury Printing Works,2,18950629,match information,Tony Webb minor counties collection,
Woburn v Fenny Stratford,3,18950805,match information,Tony Webb minor counties collection,
Silsoe v Maulden,3,18950801,match information,Tony Webb minor counties collection,
Houghton Married v Single,3,18950805,match information,Tony Webb minor counties collection,
Sewell Lime Works v Blows Down Lime Works,3,18950803,match information,Tony Webb minor counties collection,
Waterlow's v St Matthew's,3,18950803,match information,Tony Webb minor counties collection,
Dunstable Second XI v Markyate Street,3,18950803,match information,Tony Webb minor counties collection,
R H Haviland's XI v Luton Villa-Road,4,18950803,match information,Tony Webb minor counties collection,
"Waterlow's v St Matthew's, Luton",4,18950803,match information,Tony Webb minor counties collection,
Lilley v St Paul's Walden,4,18950805,match information,Tony Webb minor counties collection,
Houghton Married v Single,4,18950805,match information,Tony Webb minor counties collection,
Dunstable Second XI v Markyate Street,4,18950803,match information,Tony Webb minor counties collection,
LCR Thring,5,18950814,biography,Tony Webb minor counties collection,
Houghton v Westoning,6,18950812,match information,Tony Webb minor counties collection,
Hyde v St Matthew's,7,18950810,match information,Tony Webb minor counties collection,
Greenfield v Pulloxhill,7,18950812,match information,Tony Webb minor counties collection,
Houghton v Westoning,7,18950812,match information,Tony Webb minor counties collection,
Luton Detachment v Remainder Of Third Volunteer Battalion,7,18950807,match information,Tony Webb minor counties collection,
Hockliffe v Woburn,7,18950810,match information,Tony Webb minor counties collection,
Luton Volunteers v Rest Of Battalion,8,18950800,match information,Tony Webb minor counties collection,
Houghton v Westoning,8,18950812,match information,Tony Webb minor counties collection,
Dunstable Town First XI v Aston Clinton,9,18950820,match information,Tony Webb minor counties collection,
Dunstable Second XI v Houghton,9,18950000,match information,Tony Webb minor counties collection,
Waterlow's v Aylesbury Printing Works,9,18950817,match information,Tony Webb minor counties collection,
Dunstable Town v Aston Clinton,10,18950820,match information,Tony Webb minor counties collection,
Waterlow's v Aylesbury Printing Works,10,18950817,match information,Tony Webb minor counties collection,
Dunstable Second XI v Houghton,10,18950000,match information,Tony Webb minor counties collection,
Markyate v Waterlow's,11,18950824,match information,Tony Webb minor counties collection,
Dunstable Second XI v Caddington,11,18950822,match information,Tony Webb minor counties collection,
Dunstable Second XI v Carter's,11,18950824,match information,Tony Webb minor counties collection,
