LINCOLN RUTLAND AND STAMFORD MERCURY: FRIDAY 13 SEPTEMBER 1895 - 1.

SKEGNESS AND DISTRICT CRICKET CLUB
AVERAGES.
This club, having won 16 of the 25 matches played, may be congratulated upon having had a successful season. Of the remaining nine games five only were lost, the other four being drawn. The excellent performances of Dench, the professional, have contributed in no small measure to the success attained by the club. He heads the batting averages with 41.4, and the bowling with 65 wickets at an average cost of 8.67 runs each. Dr. Cross also troubled with great success. Appended are the averages:—

BATTING.

| Batsmen. | No. of Innings. | Total No. of runs. | Not in an innings. | Times not out. | Average. |
|----------|----------------|--------------------|--------------------|----------------|----------|
| Dench | 19 | 535 | 96* | 5 | 41.4 |
| A. E. Wilson | 9 | 285 | 102* | 1 | 35.6 |
| C. N. Day | 6 | 122 | 61 | 0 | 24.2 |
| Rev. J. Cheales | 7 | 122 | 43 | 1 | 20.3 |
| J. N. Bryant | 11 | 186 | 63* | 0 | 18.6 |
| A. Cheales | 10 | 161 | 39 | 0 | 16.1 |
| W. M. Epton | 13 | 180 | 60* | 1 | 15.9 |
| A. W. Sale | 14 | 187 | 61 | 0 | 15.7 |
| C. A. Perring | 8 | 79 | 17 | 0 | 13.2 |
| G. Charlton | 8 | 87 | 26 | 0 | 15.2 |
| Rev. T. B. Sale | 5 | 53 | 21* | 1 | 15 |
| H. Staniland | 13 | 254 | 75 | 1 | 14.6 |
| W. Martin | 3 | 36 | 25 | 0 | 13 |
| W. Eltwood | 6 | 75 | 25 | 0 | 12.5 |
| I. Searby | 6 | 63 | 20 | 0 | 10.3 |
| L. Searby | 7 | 42 | 16 | 0 | 10.3 |
| C. B. Wedd | 6 | 41 | 11* | 1 | 10.1 |
| N. & F. Stewart | 7 | 70 | 19 | 0 | 10 |
| C. B. Cheales | 9 | 71 | 25 | 0 | 9.8 |
| J. C. Sale | 5 | 48 | 26 | 0 | 9.6 |
| R. Langton | 6 | 62 | 17 | 1 | 8.9 |
| E. N. Ashton | 13 | 80 | 26* | 1 | 8.7 |
| J. Cross | 6 | 43 | 17 | 0 | 7.3 |
| C. Lee | 6 | 30 | 18 | 1 | 7.2 |
| Rev. C. W. Phipcy | 2 | 14 | 9 | 1 | 7 |
| Dr. Cross | 18 | 91 | 23* | 3 | 6.7 |
| C. Nettle | 8 | 40 | 18 | 0 | 6.2 |
| T. Wilson | 5 | 30 | 10 | 0 | 6.2 |
| H. Martin | 4 | 24 | 19 | 0 | 6 |
| D. A. Craigie | 4 | 19 | 12 | 0 | 4.3 |
| T. Newson | 2 | 7 | 5 | 1 | 3.1 |
| T. Ward | 4 | 5 | 3 | 1 | 1 |

The following have batted in less than three innings:—G. Meneage, 1-5; S. F. Hood, 5-6; F. J. Dixon, 12-1; A. T. Oliver, 28-5; C. Booth, 1-4*; T. Allin, 11-1; Windwood, 4-0; E.G.N. Stephenson, 4-0; W.O.Parr, 18; J.W. Saul, 8; Rev. G. Sobeley, 2; W. Banks, 10; G. F. Hall, 3; E. S. Worsley, 7; T. E. Wall, 5.

* Signifies not out.

BOWLING.

| | Overs. | Mdns. | Runs. | Wkts. | Avge. |
|---|--------|-------|-------|-------|-------|
| Dench | 252.3 | 129 | 577 | 65 | 8.67 |
| Dr. Cross | 291.2 | 77 | 558 | 57 | 7.79 |
| A. E. Cheales | 48.2 | 17 | 90 | 13 | 7.6 |
| D. Craigie | 29 | 11 | 54 | 6 | 9 |
| C.A. Perring | 48 | 14 | 92 | 10 | 9.2 |
| G. Lee | 40 | 6 | 90 | 9 | 10 |
| C. B. Cheales | 40.4 | 12 | 46 | 4 | 11.2 |
| W. M. Epton | 34 | 12 | 90 | 6 | 15 |
