matchup,page,date,content_type,collection,record_id
Kensworth v Dunstable Victoria,1,18950603,match information,Tony Webb minor counties collection,
Caddington v Dunstable Second XI,1,18950606,match information,Tony Webb minor counties collection,
St Albans Grammar School v Dunstable Grammar School,1,18950601,match information,Tony Webb minor counties collection,
Chalton v Houghton Second XI,1,18950603,match information,Tony Webb minor counties collection,
Waterlow's v East Finchley,1,18950603,match information,Tony Webb minor counties collection,
F Gentle's XI v Waterlow's OC,2,18950706,match information,Tony Webb minor counties collection,
Dunstable Grammar School v Bedford County School,2,18950706,match information,Tony Webb minor counties collection,
Waterlow's OC v Aylesbury Printing Works' OC,2,18950706,match information,Tony Webb minor counties collection,
Woburn v Fenny Stratford,3,18950805,match information,Tony Webb minor counties collection,
Silsoe v Maulden,3,18950801,match information,Tony Webb minor counties collection,
Houghton Married v Single,3,18950805,match information,Tony Webb minor counties collection,
Sewell Lime Works v Blows Down Lime Works,3,18950803,match information,Tony Webb minor counties collection,
Waterlow's v St Matthew's,3,18950803,match information,Tony Webb minor counties collection,
Dunstable Second XI v Markyate Street,3,18950803,match information,Tony Webb minor counties collection,
Mr R H Haviland's XL v Luton Villa-Road C O,4,18950803,match information,Tony Webb minor counties collection,
Waterlow's v St Matthew's Luton,4,18950803,match information,Tony Webb minor counties collection,
Lilley v St Paul's Walden,4,18950805,match information,Tony Webb minor counties collection,
Houghton Married v Single,4,18950805,match information,Tony Webb minor counties collection,
Dunstable Second XI v Markyate Street,4,18950803,match information,Tony Webb minor counties collection,
LCR Thring,5,18950814,biography,Tony Webb minor counties collection,
Houghton v Westoning,6,18950812,match information,Tony Webb minor counties collection,
Hyde v St Matthew's,7,18950810,match information,Tony Webb minor counties collection,
Greenfield v Pulloxhill,7,18950812,match information,Tony Webb minor counties collection,
Houghton v Westoning,7,18950812,match information,Tony Webb minor counties collection,
Luton Detachment v Remainder Of Third Volunteer Battalion,7,18950814,match information,Tony Webb minor counties collection,
Hockliffe v Woburn,7,18950810,match information,Tony Webb minor counties collection,
Luton Volunteers v Rest Of Battalion,8,18950800,match information,Tony Webb minor counties collection,
Houghton v Westoning,8,18950812,match information,Tony Webb minor counties collection,
Dunstable Town First XI v Aston Clinton,9,18950820,match information,Tony Webb minor counties collection,
Dunstable Second XI v Houghton,9,18950800,match information,Tony Webb minor counties collection,
Waterlow's v Aylesbury Printing Works,9,18950817,match information,Tony Webb minor counties collection,
Dunstable Town v Aston Clinton,10,18950820,match information,Tony Webb minor counties collection,
Waterlows v Aylesbury Printing Works,10,18950817,match information,Tony Webb minor counties collection,
Dunstable Second XI v Houghton,10,18950824,match information,Tony Webb minor counties collection,
Markyate v Waterlows,11,18950824,match information,Tony Webb minor counties collection,
Town Second XI v Caddington,11,18950822,match information,Tony Webb minor counties collection,
Town Second XI v Carter,11,18950824,match information,Tony Webb minor counties collection,
Dunstable Volunteers v Luton Detachment,11,18950824,match information,Tony Webb minor counties collection,
Dunstable Second XI v Carter's,12,18950831,match information,Tony Webb minor counties collection,
Markyate v Waterlow's,12,18950831,match information,Tony Webb minor counties collection,
Reading Observer,13,18950525,newspaper cuttings,Tony Webb minor counties collection,
Reading v Slough,13,18950525,match information,Tony Webb minor counties collection,
Reading School v Hurst,13,18950518,match information,Tony Webb minor counties collection,
Biscuit Factory A XI v Wokingham,13,18950525,match information,Tony Webb minor counties collection,
Biscuit Factory B XI v Twyford,13,18950518,match information,Tony Webb minor counties collection,
Biscuit Factory Stores Married v Single,13,18950525,match information,Tony Webb minor counties collection,
Grazeley And Spencer's Wood Institute v Biscuit Factory C XI,13,18950525,match information,Tony Webb minor counties collection,
Sutton's A XI v Culham,13,18950522,match information,Tony Webb minor counties collection,
Sutton's B XI v Grazeley And Spencer's Wood Institute,13,18950522,match information,Tony Webb minor counties collection,
Oxford-Road v Caversham House,13,18950515,match information,Tony Webb minor counties collection,
Temperance Forwards v St Andrew's,13,18950525,match information,Tony Webb minor counties collection,
Claremont v Granville,13,18950525,match information,Tony Webb minor counties collection,
Kendrick School v Caversham St John's,14,18950518,match information,Tony Webb minor counties collection,
Sonning v Caversham,14,18950518,match information,Tony Webb minor counties collection,
Wokingham Excelsior v Woodley,14,18950518,match information,Tony Webb minor counties collection,
Abbey Wharf v Caversham B XI,14,18950518,match information,Tony Webb minor counties collection,
Trinity Congregational v Thames Bank Iron Works,14,18950518,match information,Tony Webb minor counties collection,
All Saints' OC v Boys' Brigade Second Wokingham Company Second XI,14,18950518,match information,Tony Webb minor counties collection,
Christ Church v Wycliffe,14,18950518,match information,Tony Webb minor counties collection,
Heath End v Caversham Free Church,14,18950518,match information,Tony Webb minor counties collection,
Swallowfield Park v Eversley,14,18950518,match information,Tony Webb minor counties collection,
Reading Wednesday v Shinfield,14,18950522,match information,Tony Webb minor counties collection,
Reading Co-Operative v Aldworth,15,18950522,match information,Tony Webb minor counties collection,
Earley St Peter's v Shinfield,15,18950518,match information,Tony Webb minor counties collection,
Kidmore v Tilehurst,15,18950518,match information,Tony Webb minor counties collection,
Kendrick School v Sutton's Juniors,15,18950522,match information,Tony Webb minor counties collection,
London-Street Institute v Post Office,15,18950522,match information,Tony Webb minor counties collection,
Blue Coat School v St Giles' Brigade,15,18950518,match information,Tony Webb minor counties collection,
Cold Ash v Chieveley,15,18950500,match information,Tony Webb minor counties collection,
British School v St Mary's School,15,18950500,match information,Tony Webb minor counties collection,
Broad-Street United v St Lawrence's,15,18950518,match information,Tony Webb minor counties collection,
Oxford-Road v St John's,15,18950518,match information,Tony Webb minor counties collection,
London-Street Institute v Cumberland-Road,15,18950500,match information,Tony Webb minor counties collection,
Earley St Peter's,15,18950525,team information,Tony Webb minor counties collection,
British School v Victoria,15,18950500,match information,Tony Webb minor counties collection,
Reading School match list,16,18950715,team information,Tony Webb minor counties collection,
Reading School First XI player statistics,16,18950715,statistics,Tony Webb minor counties collection,
Reading School Second XI player statistics,16,18950715,statistics,Tony Webb minor counties collection,
Reading School players,16,18950715,player information,Tony Webb minor counties collection,
Biscuit Factory B XI v White Cross,17,18950727,match information,Tony Webb minor counties collection,
Avondale v Co-Operative,17,18950731,match information,Tony Webb minor counties collection,
Reading v Reading School,17,18950731,match information,Tony Webb minor counties collection,
Reading v Abingdon,17,18950727,match information,Tony Webb minor counties collection,
Reading Wednesday v Dormer's XI,17,18950731,match information,Tony Webb minor counties collection,
Aldermaston v Mortimer,17,18950727,match information,Tony Webb minor counties collection,
Guildhall v Hungerford,17,18950731,match information,Tony Webb minor counties collection,
Theale v Englefield,17,18950727,match information,Tony Webb minor counties collection,
Heath End v Mcilroy's,17,18950801,match information,Tony Webb minor counties collection,
Heath End v St Laurence's,17,18950727,match information,Tony Webb minor counties collection,
Maiden Erleigh v Reading,17,18950729,match information,Tony Webb minor counties collection,
Oxford-Road v Wycliffe,17,18950727,match information,Tony Webb minor counties collection,
Highclere Castle v Hampshire Hogs,17,18950723,match information,Tony Webb minor counties collection,
Guildhall v Newtown,17,18950727,match information,Tony Webb minor counties collection,
Reading,18,18950810,newspaper cuttings,Tony Webb minor counties collection,
Reading v Marylebone,18,18950805,match information,Tony Webb minor counties collection,
Reading v Mr C E Keymer's XI,18,18950806,match information,Tony Webb minor counties collection,
Reading v Mr W Howard Palmer's XI,18,18950807,match information,Tony Webb minor counties collection,
Sunningdale School,18,18950000,team information,Tony Webb minor counties collection,
Sunningdale School player statistics,18,18950000,statistics,Tony Webb minor counties collection,
Sunningdale School bowling statistics,18,18950000,statistics,Tony Webb minor counties collection,
Maiden Erleigh v Free Foresters,19,18950809,match information,Tony Webb minor counties collection,
Maiden Erleigh v Aldershot Division,19,18950810,match information,Tony Webb minor counties collection,
Mr T W Girdlestone's XI player statistics,19,18950000,statistics,Tony Webb minor counties collection,
Sutton's Juniors v Sullhamstead Juniors,19,18950807,match information,Tony Webb minor counties collection,
Mr T W Girdlestone's XI v Gindlestones Charterhouse,19,18950731,match information,Tony Webb minor counties collection,
Reading v Abingdon,20,18950817,match information,Tony Webb minor counties collection,
Thames Bank v Abbey Wharf,20,18950817,match information,Tony Webb minor counties collection,
Thames Bank v Reading Borough Police,20,18950820,match information,Tony Webb minor counties collection,
Biscuit Factory v Wokingham,20,18950817,match information,Tony Webb minor counties collection,
Biscuit Factory B XI v Causton's Athletic London,20,18950817,match information,Tony Webb minor counties collection,
London-Strey Institute v Co-Operative,20,18950821,match information,Tony Webb minor counties collection,
South Reading v Stoke Row,20,18950817,match information,Tony Webb minor counties collection,
Gentlemen Of Berkshire v Mr C D Rose's XI,20,18950816,match information,Tony Webb minor counties collection,
Ayondale v Oxford-Road,20,18950821,match information,Tony Webb minor counties collection,
Heath End v Ipsden,20,18950817,match information,Tony Webb minor counties collection,
Wycliffe v Christchurch,20,18950817,match information,Tony Webb minor counties collection,
Newbury v Mr C E Keyser's XI,20,18950816,match information,Tony Webb minor counties collection,
Guildhall v Newtown,21,18950817,match information,Tony Webb minor counties collection,
Parish Church Institute v Highclere,21,18950817,match information,Tony Webb minor counties collection,
Speen v Burghclere,21,18950817,match information,Tony Webb minor counties collection,
Lambourn v Hungerford,21,18950816,match information,Tony Webb minor counties collection,
Burghclere v Ashbury House,21,18950814,match information,Tony Webb minor counties collection,
Burghclere Boys v Highclere Boys,21,18950819,match information,Tony Webb minor counties collection,
East Woodhay v Stockcross,21,18950814,match information,Tony Webb minor counties collection,
Wantage v Andington,21,18950822,match information,Tony Webb minor counties collection,
A W Baker's Hagbourne Team v A F Clarke's Wantage Team,21,18950817,match information,Tony Webb minor counties collection,
Newbury v 43rd Regimental District,21,18950814,match information,Tony Webb minor counties collection,
Gentlemen Of Berkshire v Mr C D Rose's XI,22,18950817,match information,Tony Webb minor counties collection,
Biscuit Factory A XI v Wokingham,22,18950817,match information,Tony Webb minor counties collection,
Biscuit Factory B XI v Causton's Athletic,22,18950817,match information,Tony Webb minor counties collection,
Thames Bank Ironworks v Abbey Wharf,22,18950817,match information,Tony Webb minor counties collection,
Thames Bank Iron Works v Honour Police,22,18950820,match information,Tony Webb minor counties collection,
Aldermaston Juniors v Padworth Juniors,23,18950821,match information,Tony Webb minor counties collection,
Suttons' Juniors v Mr P Sutton's XI,23,18950821,match information,Tony Webb minor counties collection,
Abingdon Cricket and Football Club,24,18950907,team information,Tony Webb minor counties collection,
Abingdon Cricket and Football Club First XI player statistics,24,18950907,statistics,Tony Webb minor counties collection,
Abingdon Cricket and Football Club Second XI,24,18950907,team information,Tony Webb minor counties collection,
Abingdon Cricket and Football Club Second XI player statistics,24,18950907,statistics,Tony Webb minor counties collection,
Newbury match list,25,18950000,team information,Tony Webb minor counties collection,
Newbury player statistics,25,18950000,statistics,Tony Webb minor counties collection,
Mr Shepherd's XI v Woolley Park,26,18950911,match information,Tony Webb minor counties collection,
Inkpen v Falkland,26,,match information,Tony Webb minor counties collection,
Stockcross v Chilterley,26,18950907,match information,Tony Webb minor counties collection,
Stockcross match list,26,18950912,team information,Tony Webb minor counties collection,
Lambourn v Chilton,26,18950907,match information,Tony Webb minor counties collection,
Southington v Mr A Kingsmill's XII,26,,match information,Tony Webb minor counties collection,
Silchester v Stratfieldsaye,26,,match information,Tony Webb minor counties collection,
Milfield v Mr A Sutton's XI,26,18950907,match information,Tony Webb minor counties collection,
Buckingham v Newtown,26,,match information,Tony Webb minor counties collection,
Newtown match list,26,18950912,team information,Tony Webb minor counties collection,
