matchup,page,date,content_type,collection,record_id
Reading School player statistics,16,18950700,statistics,Tony Webb minor counties collection,
Reading School team aggregates,16,18950700,statistics,Tony Webb minor counties collection,
Sunningdale School player statistics,18,18950000,statistics,Tony Webb minor counties collection,
Sunningdale School team aggregates,18,18950000,statistics,Tony Webb minor counties collection,
Mr T. W. Girdlestone's XI player statistics,19,18950000,statistics,Tony Webb minor counties collection,
Mr T. W. Girdlestone's XI team aggregates,19,18950000,statistics,Tony Webb minor counties collection,
Abingdon player statistics,24,18950000,statistics,Tony Webb minor counties collection,
Abingdon team aggregates,24,18950000,statistics,Tony Webb minor counties collection,
Newbury player statistics,25,18950000,statistics,Tony Webb minor counties collection,
Newbury team aggregates,25,18950000,statistics,Tony Webb minor counties collection,
Speen player statistics,26,18950000,statistics,Tony Webb minor counties collection,
Speen team aggregates,26,18950000,statistics,Tony Webb minor counties collection,
Newtown team aggregates,26,18950000,statistics,Tony Webb minor counties collection,
49th Regimental District player statistics,27,18950000,statistics,Tony Webb minor counties collection,
49th Regimental District team aggregates,27,18950000,statistics,Tony Webb minor counties collection,
Royal Berks Seed Establishment player statistics,27,18950000,statistics,Tony Webb minor counties collection,
Royal Berks Seed Establishment team aggregates,27,18950000,statistics,Tony Webb minor counties collection,
Biscuit Factory player statistics,27,18950000,statistics,Tony Webb minor counties collection,
Biscuit Factory team aggregates,27,18950000,statistics,Tony Webb minor counties collection,
Royal Berks Seed Establishment player statistics,28,18950000,statistics,Tony Webb minor counties collection,
Royal Berks Seed Establishment team aggregates,28,18950000,statistics,Tony Webb minor counties collection,
Sunningdale School player statistics,28,18950000,statistics,Tony Webb minor counties collection,
Sunningdale School team aggregates,28,18950000,statistics,Tony Webb minor counties collection,
Biscuit Factory player statistics,28,18950000,statistics,Tony Webb minor counties collection,
Biscuit Factory team aggregates,28,18950000,statistics,Tony Webb minor counties collection,
Lechlade player statistics,29,18950000,statistics,Tony Webb minor counties collection,
Lechlade team aggregates,29,18950000,statistics,Tony Webb minor counties collection,
